date,open,high,low,close,volume
2021-11-10 00:00:00+05:30,459.95,462.3,453.1,459.7,1367169
2021-11-11 00:00:00+05:30,459.65,463.1,452.5,459.4,2229940
2021-11-12 00:00:00+05:30,463.0,468.0,457.55,466.25,1254461
2021-11-15 00:00:00+05:30,466.95,477.95,464.35,475.35,978856
2021-11-16 00:00:00+05:30,474.0,477.9,459.4,461.25,1098151
2021-11-17 00:00:00+05:30,460.7,465.0,455.45,458.45,2255153
2021-11-18 00:00:00+05:30,459.1,460.0,447.0,451.3,644215
2021-11-22 00:00:00+05:30,451.7,457.6,432.5,445.85,1473804
2021-11-23 00:00:00+05:30,440.3,449.8,436.05,444.95,3037101
2021-11-24 00:00:00+05:30,447.3,451.65,435.9,438.85,1297744
2021-11-25 00:00:00+05:30,438.1,448.95,437.15,446.5,998926
2021-11-26 00:00:00+05:30,444.0,446.55,435.1,437.4,939590
2021-11-29 00:00:00+05:30,439.1,449.0,417.2,443.3,2888897
2021-11-30 00:00:00+05:30,444.4,462.15,440.0,448.25,1829211
2021-12-01 00:00:00+05:30,453.6,455.25,436.6,438.55,1730686
2021-12-02 00:00:00+05:30,439.15,440.6,432.5,433.7,1641879
2021-12-03 00:00:00+05:30,432.95,441.4,425.25,427.75,1983280
2021-12-06 00:00:00+05:30,427.75,433.65,426.35,430.35,667758
2021-12-07 00:00:00+05:30,430.0,437.0,425.15,431.8,1819081
2021-12-08 00:00:00+05:30,432.9,437.0,423.7,429.25,2328407
2021-12-09 00:00:00+05:30,432.15,440.5,430.0,438.65,928259
2021-12-10 00:00:00+05:30,440.0,440.0,433.7,435.85,1434067
2021-12-13 00:00:00+05:30,439.0,444.5,425.65,427.0,2063743
2021-12-14 00:00:00+05:30,427.0,427.0,413.1,415.85,2788053
2021-12-15 00:00:00+05:30,417.7,432.9,412.1,430.85,1799117
2021-12-16 00:00:00+05:30,429.45,435.45,417.65,421.7,1629341
2021-12-17 00:00:00+05:30,417.9,424.5,413.0,417.85,1499936
2021-12-20 00:00:00+05:30,414.1,418.4,402.5,412.35,1825796
2021-12-21 00:00:00+05:30,412.0,418.0,407.55,413.05,1095439
2021-12-22 00:00:00+05:30,414.55,417.55,408.7,414.65,1524804
2021-12-23 00:00:00+05:30,419.5,434.0,414.9,431.45,1954762
2021-12-24 00:00:00+05:30,431.45,432.5,423.05,431.2,1015915
